bind,bugis
saya,iya'
kamu,idi'
dia,alena
kita,idi'
kalian,idi'
mereka,yamaneng
ini,yae
itu,yaro
sini,akkoe
sana,akkoro
siapa,niga
apa,aga
dimana,kega
kapan,uppanna
bagaimana,pekkoga
bukan,tania
semua,maneng
banyak,mega
beberapa,siaga-siaga
sedikit,ce'de
lain,laeng
satu,siddi
dua,duwa
tiga,téllu
empat,éppa
lima,lima
besar,maloppo
panjang,malampe
lebar,mallebba'
tebal,maumpe'
berat,matane'
kecil,mabiccu'
pendek,maponco'
sempit,macipi'
tipis,manipi'
perempuan,makkunrai
pria,urane
manusia,tau
anak,ana'
istri,bene
suami,lakkai
ibu,indo'
ayah,ambo'
binatang,olo'kolo'
ikan,bale
burung,manu'-manu'
anjing,asu
kutu,utu
ular,ula'
cacing,bito
pohon,tanet-taneng
hutan,ale'
ranting,takkeiccu'
buah,bua
biji,lice'
daun,raun
akar,ure'
kulitkayu,uliaju
bunga,bunga
rumput,ruu'
tali,tulu'
kulit,uli'
daging,juku'
darah,cera'
tulang,kabuttu
lemak,lappe
telur,tello
tanduk,tanru'
ekor,ikko'
bulu,hulu
rambut,belua
kepala,ulu
telinga,coli
mata,mata
hidung,inge'
mulut,timu
gigi,isi
lidah,lilla
kuku,kanuku
kaki,aje
lutut,uttu'
tangan,lima
perut,perru'
leher,éllong
payudara,tete'
minum,minung
makan,manre
gigit,mattoa'
isap,mangngiso'
ludah,mammiccu
muntah,tallua
tiup,ma'berrung
nafas,makkinnyawa
tawa,micawa
lihat,makkita
dengar,mangkalinga
tahu,misséng
pikir,mappikkiri'
cium,cippo
takut,mitau'
tidur,matinro
hidup,tuo
mati,mate
bunuh,uno
kelahi,mangkaga
buru,mattolu
pukul,péppe
potong,polo
belah,pue
tusuk,to'do
coret,maccore
gali,kae
renang,nange
terbang,luttu'
jalan,jokka
datang,éngka
baring,leu
duduk,tudang
diri,tettong
belok,belo
jatuh,mabuang
beri,péreng
pegang,makkatenni
peras,pérra
gosok,goso'
cuci,mabbissa
tarik,marrui
dorong,sorong
lempar,marrempe'
ikat,massio'
jahit,ma'jai
hitung,marrekeng
kata,ma'bicara
nyanyi,makkelong
main,maccule
apung,mawang
alir,maccolo
beku,mabékku'
bengkak,boro
matahari,mataesso
bulan,uleng
bintang,bintoeng
air,wae
hujan,bosi
sungai,salo
laut,tasi
garam,péjje
batu,batu
pasir,késsi
debu,alulu
bumi,bumi
awan,éllung
langit,langi'
angin,anging
salju,saléju
es,ese'
asap,dumpu
api,api
abu,abu
bakar,tunu
jalan,laleng
gunung,bulu'
merah,cella'
hijau,cémbulo
kuning,ridi
putih,pute
hitam,lotong
malam,wénni
hari,ésso
tahun,taung
hangat,kémmu
dingin,kécce
penuh,penno
baru,baru
tua,toa
baik,kanja'
buruk,maja'
busuk,kébbong
kotor,rota
lurus,lémpu
bulat,lebu
tajam,taréng
tumpul,kunru
licin,maléngngo
basah,marica
kering,marakko
betul,tongéng
dekat,cawe
jauh,bela
kanan,atau
kiri,abio
di,ri
dalam,laléng
dengan,sibawa
dan,na
kalau,rekko
karena,nasaba
nama,aséng
